id;route_name;route_details;route_map_url;no_of_stops;route_frequency;status;created_by;created_on;updated_by;updated_on;branch_id
1;Specialist moratorium Handcrafted;GB;support;38878;Fantastic Concrete Towels;online executive;out-of-the-box Buckinghamshire;2020-05-25;cross-platform calculating;2020-05-26;40209
2;Synchronised Analyst Garden;Enterprise-wide;turquoise vortals generating;2675;quantify bi-directional;Loaf productize;New York override grow;2020-05-25;calculating Montana Face to face;2020-05-25;10673
3;Unbranded Small;Administrator Central Virginia;Borders Customer Taiwan;74448;cyan microchip Applications;optimize Bedfordshire;Chair implement cultivate;2020-05-25;Frozen Steel;2020-05-25;79240
4;Concrete;Kids backing up;expedite Chair infrastructures;5723;Legacy HDD Right-sized;online;Sports Berkshire;2020-05-25;Incredible European Monetary Unit (E.M.U.-6) New York;2020-05-26;29998
5;generating;Zimbabwe Dollar Iceland Krona Lithuanian Litas;FTP;41830;Idaho Assistant;Dynamic Outdoors Clothing;redefine Sleek Concrete Salad EXE;2020-05-26;generating transmitting;2020-05-25;6051
6;cross-platform;invoice;Egyptian Pound Markets;41431;Senior wireless Ouguiya;Alaska AI end-to-end;SAS Shores Small;2020-05-26;Plastic Facilitator;2020-05-25;24942
7;complexity Bond Markets Units European Composite Unit (EURCO) Illinois;Sausages integrate Automotive;payment Multi-lateral;22234;Senior deposit;sky blue;online 1080p;2020-05-25;Branding high-level;2020-05-26;24611
8;Radial generating;invoice;compressing Cambridgeshire Secured;22679;Saudi Riyal executive Small Frozen Tuna;Maryland;Usability Fresh;2020-05-26;generating;2020-05-25;81056
9;EXE complexity Bedfordshire;Cambridgeshire invoice;withdrawal open-source;41882;Salad digital;fuchsia multi-byte;Avon Rustic Plastic Shirt;2020-05-25;Administrator Soft content;2020-05-25;14921
10;Generic Metal Salad withdrawal;Grocery Auto Loan Account implement;turquoise Cambodia human-resource;91871;XML;Consultant;Practical Fresh Gloves;2020-05-25;aggregate Corners Pants;2020-05-26;32190
