id;vehicle_number;vehicle_type;capacity;owner_ship;date_of_registration;year_of_manufacturing;manufacturing_company;model;chasis_no;rc_no;status;on_boarding_date;branch_id
1;SMS Program;24/7 Vision-oriented connecting;23362;transmitter transmit;2020-05-26;collaborative;Avon New Jersey monitor;overriding;convergence Multi-tiered silver;Associate;invoice Streets;2020-05-26;9413
2;index Personal Loan Account Coves;Lead Palestinian Territory Balboa US Dollar;84833;Texas Investment Account Mills;2020-05-26;parsing;Kentucky Utah;neural;navigating Pataca Kansas;gold Personal Loan Account;COM mobile Infrastructure;2020-05-26;94076
3;Home;Rustic back-end copy;27598;Optional Towels Practical Frozen Mouse;2020-05-26;Pizza;Drive attitude;concept Gorgeous Fresh Cheese Functionality;Interactions;Cotton Expanded;Fish Ireland synthesizing;2020-05-26;3028
4;Creative;Applications drive Ecuador;8769;black Gloves Mississippi;2020-05-25;New Jersey auxiliary drive;quantify;Sausages;cyan Fiji Dollar Orchard;synthesize;Romania;2020-05-25;35032
5;Berkshire invoice Soap;program compress port;4558;web-readiness Steel Islands;2020-05-25;target;extend Zambia;24/365;Personal Loan Account Electronics;deposit payment;navigate quantifying back up;2020-05-25;97800
6;calculating withdrawal;connect Human;10457;recontextualize Chair bypass;2020-05-25;radical;Fantastic Jersey;Tasty Metal Sausages Frozen;Rubber Berkshire;Burkina Faso Chips Corporate;Assistant Falkland Islands (Malvinas);2020-05-25;70481
7;Metical;bluetooth;64559;lime Bike;2020-05-25;Bacon executive;cultivate Personal Loan Account web services;magenta;Oman;invoice deliverables;red Rustic Cotton Keyboard withdrawal;2020-05-25;36714
8;haptic copy Pizza;orchid Granite Director;4235;Marketing knowledge user Toys;2020-05-26;Accountability;Illinois SCSI;back-end Tanzania Avon;Proactive Tennessee;neutral navigate Associate;Shirt;2020-05-25;33024
9;neural-net multi-byte Circles;Multi-layered;28374;Crossroad data-warehouse;2020-05-26;Awesome Fresh Tuna;deposit;Ford system-worthy microchip;Cambridgeshire withdrawal;Outdoors Serbian Dinar Cambridgeshire;Synchronised Sleek Rubber Shirt;2020-05-25;87088
10;encoding;Credit Card Account Fresh;9838;Florida Tennessee indexing;2020-05-25;orchestration Colorado;revolutionary;Progressive success Fresh;Branding;Japan;Investment Account;2020-05-26;40438
