id;vendor_name;type_of_owner_ship;duration_of_contract;start_date;end_date
1;Guinea-Bissau teal Credit Card Account;intermediate Cape Verde Escudo;Cheese synergistic leverage;2020-05-25;2020-05-25
2;user-centric online;Guarani Licensed Concrete Keyboard Industrial;facilitate Tasty stable;2020-05-25;2020-05-25
3;Global;Multi-layered Kina Usability;Cambridgeshire real-time Mobility;2020-05-25;2020-05-25
4;Program Unbranded Plastic Shirt;methodical;calculating virtual;2020-05-25;2020-05-25
5;Data bypassing Island;invoice global Pants;Licensed Falkland Islands Pound;2020-05-25;2020-05-25
6;feed Libyan Dinar Ergonomic Wooden Hat;bus;methodologies invoice;2020-05-25;2020-05-26
7;Multi-tiered;Forward;bluetooth;2020-05-26;2020-05-26
8;deposit;Refined Rubber Car hybrid;Music;2020-05-26;2020-05-26
9;Mouse benchmark;actuating Steel;installation Cotton SSL;2020-05-25;2020-05-26
10;Global backing up Investor;bypass one-to-one Designer;transmitter Somalia;2020-05-26;2020-05-25
