id;insurance_company;type_of_insurance;date_of_insurance;valid_till
1;Direct Metal Optimization;clicks-and-mortar transmitting payment;2020-05-25;2020-05-25
2;Norfolk Island CSS;Handmade Cotton Car Puerto Rico;2020-05-25;2020-05-26
3;platforms;tangible;2020-05-26;2020-05-26
4;black Lane Auto Loan Account;alarm;2020-05-26;2020-05-25
5;schemas;Generic;2020-05-25;2020-05-25
6;deposit impactful;orange bypassing regional;2020-05-26;2020-05-26
7;Toys invoice;Ergonomic Cambridgeshire;2020-05-25;2020-05-25
8;vortals Qatari Rial Sports;Personal Loan Account Buckinghamshire;2020-05-25;2020-05-25
9;Rustic Personal Loan Account payment;ADP online Tasty Concrete Car;2020-05-25;2020-05-26
10;Tactics user-centric;monitor open system Greece;2020-05-26;2020-05-26
